complaint_text,product
gas evacuation required,Gas Leaks
public area me gas leak,Gas Leaks
market me gas leak,Gas Leaks
school ke pass gas leak,Gas Leaks
hospital ke pass gas leak,Gas Leaks
residential area me gas smell,Gas Leaks
colony me gas leak,Gas Leaks
apartment me gas leak,Gas Leaks
flat ke kitchen me leak,Gas Leaks
shop me gas leak,Gas Leaks
restaurant me gas leak,Gas Leaks
hotel kitchen gas leak,Gas Leaks
canteen me gas smell,Gas Leaks
dhaba me gas leak,Gas Leaks
industrial zone me gas leak,Gas Leaks
petrol pump ke pass gas leak,Gas Leaks
pipeline burst,Gas Leaks
pipe rupture,Gas Leaks
gas ka spray aa raha,Gas Leaks
gas pipeline blast,Gas Leaks
pipeline me crack,Gas Leaks
gas chamber me leak,Gas Leaks
cylinder godown me leak,Gas Leaks
LPG storage tank leak,Gas Leaks
storage vessel crack,Gas Leaks
gas truck se leak,Gas Leaks
delivery cylinder se leak,Gas Leaks
pipeline alignment galat,Gas Leaks
pipe vibration se leak,Gas Leaks
gas ka hiss sound,Gas Leaks
gas ka continuous smell,Gas Leaks
strong gas odor,Gas Leaks
mild gas smell,Gas Leaks
intermittent gas smell,Gas Leaks
kabhi kabhi gas smell,Gas Leaks
gas smell after rain,Gas Leaks
gas smell after digging,Gas Leaks
pipeline damage construction se,Gas Leaks
road digging me pipeline cut,Gas Leaks
JCB se pipeline damage,Gas Leaks
drilling se pipe cut,Gas Leaks
gas pipe bent,Gas Leaks
pipe dent se leak,Gas Leaks
line pressure drop,Gas Leaks
meter reading me error,Gas Leaks
meter reading abnormal,Gas Leaks
meter ka dial fast,Gas Leaks
meter ka needle stuck,Gas Leaks
gas ka bill high after leak,Gas Leaks
gas ka bill low after leak,Gas Leaks
pipeline ka colour change,Gas Leaks
pipe surface blister,Gas Leaks
pipeline sweating,Gas Leaks
condensation on gas pipe,Gas Leaks
pipeline pe ice ban raha,Gas Leaks
cold gas pipe,Gas Leaks
hot gas pipe,Gas Leaks
gas regulator se hiss,Gas Leaks
regulator vent se gas,Gas Leaks
gas ka flow irregular,Gas Leaks
burner flame yellow,Gas Leaks
flame blue nahi hai,Gas Leaks
flame small ho gaya,Gas Leaks
flame zyada ho gaya,Gas Leaks
flame unstable,Gas Leaks
burner se pop sound,Gas Leaks
burner ka ignition slow,Gas Leaks
burner band hone me time lagta,Gas Leaks
burner se black soot,Gas Leaks
burner ka heat kam,Gas Leaks
burner ka fire zyada,Gas Leaks


# ------------------- NOISE -------------------
loud noise,Noise
bahut shor hai,Noise
noisy area,Noise
construction ka shor,Noise
factory noise,Noise
music loud,Noise
high volume noise,Noise
speaker noise,Noise
generator noise,Noise
vehicle honking,Noise
horn sound,Noise
drilling sound,Noise
dj noise,Noise
shor,Noise
noise,Noise
dj,Noise
loud,Noise
sound,Noise
speaker,Noise
music,Noise
loud noise,Noise
bahut shor hai,Noise
noisy area,Noise
construction ka shor,Noise
factory noise,Noise
music loud,Noise
high volume noise,Noise
speaker noise,Noise
generator noise,Noise
vehicle honking,Noise
horn sound,Noise
drilling sound,Noise
dj noise,Noise
shor,Noise
noise,Noise
dj,Noise
loud,Noise
sound,Noise
speaker,Noise
music,Noise
neighbour loud music,Noise
padosi ki loud party,Noise
party ka shor,Noise
wedding band noise,Noise
baraat ka shor,Noise
band baaja,Noise
band ka shor,Noise
band baja raha,Noise
festival loudspeaker,Noise
loud speaker baja raha,Noise
mandir ka loudspeaker,Noise
masjid ka loudspeaker,Noise
religious loudspeaker,Noise
azan ka shor,Noise
bhajan loud,Noise
kirtan ka shor,Noise
jagran loud music,Noise
garba loud music,Noise
navratri ka shor,Noise
diwali crackers noise,Noise
patakhe ka shor,Noise
cracker burst loud,Noise
bomb blast noise,Noise
fireworks ka shor,Noise
school band noise,Noise
rally loudspeaker,Noise
political rally ka shor,Noise
protest loud noise,Noise
march ka shor,Noise
crowd shouting,Noise
public shouting,Noise
slogans loud,Noise
stadium ka shor,Noise
match ka shor,Noise
cricket match noise,Noise
goal celebration noise,Noise
sports event loud,Noise
dj sound system,Noise
sound system blast,Noise
music system loud,Noise
bass zyada hai,Noise
subwoofer loud,Noise
woofer noise,Noise
mic feedback noise,Noise
microphone se awaz,Noise
speaker humming,Noise
speaker se hiss sound,Noise
amplifier noise,Noise
amp ka shor,Noise
sound distortion,Noise
audio distortion,Noise
high pitch noise,Noise
ultra sound noise,Noise
shrill sound,Noise
sharp noise,Noise
piercing noise,Noise
metal grinding noise,Noise
iron cutting ka shor,Noise
welding ka shor,Noise
hammering ka shor,Noise
drill machine noise,Noise
road cutting ka shor,Noise
pavement breaking ka shor,Noise
construction work loud,Noise
cement mixer ka shor,Noise
road roller noise,Noise
bulldozer noise,Noise
truck horn loud,Noise
bus horn loud,Noise
train horn loud,Noise
railway crossing horn,Noise
air horn,Noise
ship horn,Noise
boat engine noise,Noise
ferry horn,Noise
airplane loud noise,Noise
flight ka shor,Noise
helicopter loud noise,Noise
chopper ka shor,Noise
jet plane ka shor,Noise
airport loud noise,Noise
engine testing loud,Noise
car exhaust noise,Noise
bike exhaust loud,Noise
silencer noise,Noise
modified silencer loud,Noise
race ka shor,Noise
drag race noise,Noise
tyre screeching,Noise
brake squeal,Noise
clutch noise,Noise
gearbox ka shor,Noise
fan belt ka shor,Noise
machine ka humming,Noise
industrial machine noise,Noise
factory ka loud noise,Noise
press machine ka shor,Noise
lathe machine ka shor,Noise
printing press noise,Noise
textile machine ka shor,Noise
loom ka shor,Noise
grinder machine noise,Noise
mixer grinder loud,Noise
blender loud noise,Noise
vacuum cleaner ka shor,Noise
washing machine loud,Noise
dryer machine noise,Noise
fridge compressor noise,Noise
ac ka compressor loud,Noise
fan ka shor,Noise
cooler ka shor,Noise
exhaust fan loud,Noise
bathroom exhaust noise,Noise
toilet flush loud,Noise
water pump loud,Noise
motor pump ka shor,Noise
borewell pump ka shor,Noise
overhead tank ka pump noise,Noise
lift ka shor,Noise
elevator ka noise,Noise
door closing loud,Noise
gate ka bang sound,Noise
rolling shutter loud,Noise
shutter closing ka shor,Noise
iron gate ka shor,Noise
metal door ka bang,Noise
window ka noise,Noise
glass breaking loud,Noise
bottle breaking noise,Noise
utensil ka shor,Noise
plate gir gaya ka shor,Noise
spoon fall noise,Noise
pressure cooker whistle,Noise
cooker ka shor,Noise
steamer ka shor,Noise
gas leak hiss noise,Noise
geyser ka shor,Noise
boiler ka noise,Noise
pipeline se awaz,Noise
water hammer ka shor,Noise
pipe me seeti,Noise
waterfall loud noise,Noise
river ka shor,Noise
sea waves loud,Noise
storm ka shor,Noise
wind ka noise,Noise
heavy rain ka shor,Noise
hailstorm ka shor,Noise
lightning ka shor,Noise
thunder loud noise,Noise
cloud burst ka shor,Noise


# ------------------- WASTE MANAGEMENT -------------------
garbage smell,Waste Management
dustbin full,Waste Management
bin overflow,Waste Management
trash pile,Waste Management
garbage dump,Waste Management
overflow bin,Waste Management
waste heap,Waste Management
bin unclean,Waste Management
skip bin full,Waste Management
dump site dirty,Waste Management
trash not removed,Waste Management
public bin overflow,Waste Management
plastic waste,Waste Management
waste, Waste Management
bin, Waste Management
dump, Waste Management
garbage, Waste Management
trash, Waste Management
dustbin, Waste Management
waste disposal, Waste Management
garbage smell,Waste Management
dustbin full,Waste Management
bin overflow,Waste Management
trash pile,Waste Management
garbage dump,Waste Management
overflow bin,Waste Management
waste heap,Waste Management
bin unclean,Waste Management
skip bin full,Waste Management
dump site dirty,Waste Management
trash not removed,Waste Management
public bin overflow,Waste Management
plastic waste,Waste Management
waste, Waste Management
bin, Waste Management
dump, Waste Management
garbage, Waste Management
trash, Waste Management
dustbin, Waste Management
waste disposal, Waste Management
kachra jama ho gaya,Waste Management
kooda badboo kar raha hai,Waste Management
garbage collection late hai,Waste Management
dustbin se smell aa rahi hai,Waste Management
public dustbin overflow ho gaya,Waste Management
kachra road pe pada hai,Waste Management
unclean public bin,Waste Management
dirty waste container,Waste Management
waste truck nahi aaya,Waste Management
garbage vehicle absent,Waste Management
refuse not collected,Waste Management
waste not cleared,Waste Management
trash accumulation,Waste Management
garbage bin broken,Waste Management
bin ka lid missing,Waste Management
garbage scattered,Waste Management
kachra bikhar gaya,Waste Management
kooda bin ke bahar,Waste Management
rats in garbage,Waste Management
flies in waste,Waste Management
mosquito in trash,Waste Management
waste attracting animals,Waste Management
dogs in garbage,Waste Management
stray dogs eating waste,Waste Management
cats in garbage,Waste Management
cow in garbage,Waste Management
animals eating waste,Waste Management
polythene littered,Waste Management
plastic bags in garbage,Waste Management
hazardous waste,Waste Management
bio waste,Waste Management
medical waste in trash,Waste Management
sharps in waste,Waste Management
broken glass in garbage,Waste Management
needles in waste,Waste Management
chemical waste,Waste Management
paint cans in garbage,Waste Management
oil cans in waste,Waste Management
battery waste,Waste Management
e waste,Waste Management
electronic waste in bin,Waste Management
tv in garbage,Waste Management
fridge in waste,Waste Management
washing machine in garbage,Waste Management
tyres in waste,Waste Management
rubber waste,Waste Management
wood waste,Waste Management
furniture in garbage,Waste Management
sofa in waste,Waste Management
bed in garbage,Waste Management
mattress in waste,Waste Management
pillow in garbage,Waste Management
construction waste,Waste Management
cement bags in garbage,Waste Management
sand pile waste,Waste Management
bricks in waste,Waste Management
tiles in garbage,Waste Management
marble waste,Waste Management
stone in garbage,Waste Management
soil pile waste,Waste Management
garden waste,Waste Management
grass clippings in bin,Waste Management
leaves in garbage,Waste Management
tree branches in waste,Waste Management
pruned branches in garbage,Waste Management
flowers in waste,Waste Management
dead plants in garbage,Waste Management
compostable waste,Waste Management
wet waste,Waste Management
dry waste not separated,Waste Management
mixed waste in bin,Waste Management
unsegregated garbage,Waste Management
organic waste in dry bin,Waste Management
recyclable waste in wrong bin,Waste Management
paper in wet waste,Waste Management
cardboard in wet waste,Waste Management
cloth waste,Waste Management
old clothes in garbage,Waste Management
shoes in waste,Waste Management
bags in garbage,Waste Management
toys in waste,Waste Management
broken toys in garbage,Waste Management
broken utensils in waste,Waste Management
steel waste,Waste Management
iron scrap in garbage,Waste Management
cans in waste,Waste Management
tins in garbage,Waste Management
aluminium waste,Waste Management
metal waste in bin,Waste Management
glass waste in wrong bin,Waste Management
bottle waste,Waste Management
beer bottles in garbage,Waste Management
wine bottles in waste,Waste Management
soft drink bottles in garbage,Waste Management
plastic bottles in waste,Waste Management
milk packets in garbage,Waste Management
tetra packs in waste,Waste Management
juice boxes in garbage,Waste Management
packaging waste,Waste Management
food packaging in garbage,Waste Management
chips packets in waste,Waste Management
biscuit wrappers in garbage,Waste Management
snack packets in waste,Waste Management
pizza box in garbage,Waste Management
burger wrapper in waste,Waste Management
paper cups in garbage,Waste Management
plastic cups in waste,Waste Management
bottled water waste,Waste Management
disposable plates in garbage,Waste Management
styrofoam waste,Waste Management
thermocol in garbage,Waste Management
waste burnt smell,Waste Management
garbage burning,Waste Management
smoke from waste,Waste Management
waste fire,Waste Management


# ------------------- DRAINAGE -------------------
clogged drain,Drainage
nali jam hai,Drainage
water logging,Drainage
sewer blocked,Drainage
drain choke,Drainage
flooding road,Drainage
sewage overflow,Drainage
drain smell,Drainage
water flood,Drainage
blocked drain,Drainage
manhole overflow,Drainage
drain water flow back,Drainage
drainage issue,Drainage
nali,Drainage
gutter,Drainage
sewer,Drainage
drain,Drainage
paani jama,Drainage
drain blocked,Drainage
open drain,Drainage
clogged drain,Drainage
nali jam hai,Drainage
water logging,Drainage
sewer blocked,Drainage
drain choke,Drainage
flooding road,Drainage
sewage overflow,Drainage
drain smell,Drainage
water flood,Drainage
blocked drain,Drainage
manhole overflow,Drainage
drain water flow back,Drainage
drainage issue,Drainage
nali,Drainage
gutter,Drainage
sewer,Drainage
drain,Drainage
paani jama,Drainage
drain blocked,Drainage
open drain,Drainage
paani road pe khada hai,Drainage
gali mein paani jam gaya,Drainage
nali se smell aa rahi hai,Drainage
drain se badbu aa rahi hai,Drainage
gutter mein block hai,Drainage
drain water overflow,Drainage
gali mein gutter khula hai,Drainage
manhole cover missing,Drainage
drainage water on road,Drainage
nali se machhar paida ho rahe hain,Drainage
stagnant drain water,Drainage
gutter choke,Drainage
drain ka paani nahi ja raha,Drainage
paani nali se wapas aa raha hai,Drainage
road pe paani ka talab,Drainage
drainage smell,Drainage
dirty drain water,Drainage
black water in drain,Drainage
sewer line choke,Drainage
drain ka cover toot gaya,Drainage
drainage system fail,Drainage
drain repair needed,Drainage
nali safai nahi hui,Drainage
gutter safai pending,Drainage
drain mein kachra jam gaya,Drainage
kachra nali block kar raha hai,Drainage
plastic in drain,Drainage
paani nali se bahar aa raha,Drainage
nali mein keede lag gaye,Drainage
worms in drain,Drainage
mosquitoes in drain,Drainage
insects in drainage water,Drainage
rodents in drain,Drainage
rats coming from drain,Drainage
nali mein dead animal,Drainage
gutter mein murda jaanwar,Drainage
drain mein oil gir gaya,Drainage
chemical waste in drain,Drainage
toxic smell from drain,Drainage
acid in drain,Drainage
dirty sewer water,Drainage
foul smell from gutter,Drainage
sludge in drain,Drainage
thick waste in gutter,Drainage
black sludge in drain,Drainage
waste water overflow,Drainage
toilet drain blocked,Drainage
bathroom drain choke,Drainage
kitchen drain block,Drainage
sink drain jam,Drainage
washbasin drain blocked,Drainage
pipeline drainage issue,Drainage
underground sewer choke,Drainage
drainage water leaking,Drainage
sewer water entering home,Drainage
toilet water overflow,Drainage
flush water coming up,Drainage
bathroom flooding,Drainage
gali mein paani ghus gaya,Drainage
drain near park blocked,Drainage
gutter near market overflow,Drainage
drainage in colony blocked,Drainage
residential drain choke,Drainage
commercial drain blocked,Drainage
industrial drainage problem,Drainage
factory waste in drain,Drainage
oil waste in drainage,Drainage
food waste in drain,Drainage
restaurant waste blocking drain,Drainage
canteen water in drain,Drainage
school drain blocked,Drainage
hospital drain choke,Drainage
public toilet drain blocked,Drainage
slum area drainage blocked,Drainage
village drain blocked,Drainage
rural nali jam,Drainage
urban drain overflow,Drainage
monsoon water logging,Drainage
heavy rain paani jam,Drainage
rainwater not draining,Drainage
storm water drain blocked,Drainage
rain drain overflow,Drainage
rainwater drain choke,Drainage
nala overflow,Drainage
nullah block,Drainage
big drain blocked,Drainage
small drain block,Drainage
side drain blocked,Drainage
main drain jam,Drainage
water drain to nala blocked,Drainage
link drain jam,Drainage
cross drain block,Drainage
open drain hazard,Drainage
open gutter smell,Drainage
drain without cover,Drainage
kids playing near open drain,Drainage
animals falling in drain,Drainage
road damage due to drain,Drainage
erosion due to drainage,Drainage
collapsed drain wall,Drainage
broken drain slab,Drainage
drain ka pathar tut gaya,Drainage
gutter cover toot gaya,Drainage

# ------------------- TREE/LANDSCAPE -------------------
tree fallen,Tree/Landscape
ped gir gaya,Tree/Landscape
branch fallen,Tree/Landscape
tree block road,Tree/Landscape
tree roots damage,Tree/Landscape
garden unclean,Tree/Landscape
fallen branch,Tree/Landscape
overgrown tree,Tree/Landscape
tree blocking light,Tree/Landscape
tree blocking signal,Tree/Landscape
tree pruning needed,Tree/Landscape
tree uprooted,Tree/Landscape
ped,Tree/Landscape
branch,Tree/Landscape
tree,Tree/Landscape
park,Tree/Landscape
garden,Tree/Landscape
landscape,Tree/Landscape
tree hazard,Tree/Landscape
tree block,Tree/Landscape

# ------------------- PUBLIC HEALTH -------------------
mosquito breeding,Public Health
machhar paida ho rahe,Public Health
hospital waste,Public Health
clinic waste,Public Health
health hazard,Public Health
rotten garbage,Public Health
medical waste,Public Health
dirty clinic,Public Health
unhygienic area,Public Health
machhar,Public Health
dengue,Public Health
malaria,Public Health
hospital,Public Health
health,Public Health
clinic,Public Health
disease,Public Health
infection,Public Health
public health issue,Public Health
vector problem,Public Health
mosquito issue,Public Health
tree fallen,Tree/Landscape
ped gir gaya,Tree/Landscape
branch fallen,Tree/Landscape
tree block road,Tree/Landscape
tree roots damage,Tree/Landscape
garden unclean,Tree/Landscape
fallen branch,Tree/Landscape
overgrown tree,Tree/Landscape
tree blocking light,Tree/Landscape
tree blocking signal,Tree/Landscape
tree pruning needed,Tree/Landscape
tree uprooted,Tree/Landscape
ped,Tree/Landscape
branch,Tree/Landscape
tree,Tree/Landscape
park,Tree/Landscape
garden,Tree/Landscape
landscape,Tree/Landscape
tree hazard,Tree/Landscape
tree block,Tree/Landscape
ped raste me gir gaya,Tree/Landscape
tree fallen on car,Tree/Landscape
branch broken in storm,Tree/Landscape
tree uprooted in rain,Tree/Landscape
heavy branch fallen,Tree/Landscape
tree leaning dangerously,Tree/Landscape
old tree about to fall,Tree/Landscape
dry branch may fall,Tree/Landscape
tree damaged by wind,Tree/Landscape
branch blocking footpath,Tree/Landscape
tree roots damaging road,Tree/Landscape
roots entering drain,Tree/Landscape
tree damaging pipeline,Tree/Landscape
roots damaging building,Tree/Landscape
tree growing in wall,Tree/Landscape
tree damaging electric wire,Tree/Landscape
tree touching high tension line,Tree/Landscape
branch on electric pole,Tree/Landscape
tree caught fire,Tree/Landscape
tree pest infection,Tree/Landscape
tree leaves causing blockage,Tree/Landscape
fallen leaves clogging drain,Tree/Landscape
dry leaves all over road,Tree/Landscape
garden full of weeds,Tree/Landscape
public park dirty,Tree/Landscape
grass overgrown,Tree/Landscape
shrub blocking road,Tree/Landscape
bush blocking light,Tree/Landscape
bush blocking entrance,Tree/Landscape
plant overgrowth,Tree/Landscape
hedge blocking view,Tree/Landscape
fallen coconut tree,Tree/Landscape
fallen palm tree,Tree/Landscape
banana tree fallen,Tree/Landscape
neem tree fallen,Tree/Landscape
peepal tree fallen,Tree/Landscape
mango tree fallen,Tree/Landscape
big tree across road,Tree/Landscape
tree trunk in middle of road,Tree/Landscape
wood pieces on road,Tree/Landscape
timber from fallen tree,Tree/Landscape
tree debris on footpath,Tree/Landscape
branches blocking cycle track,Tree/Landscape
branches blocking car parking,Tree/Landscape
tree blocking bus stop,Tree/Landscape
tree blocking shop entrance,Tree/Landscape
tree blocking hospital gate,Tree/Landscape
ped ke neeche kachra,Tree/Landscape
tree roots breaking pavement,Tree/Landscape
tree roots lifting tiles,Tree/Landscape
roots damaging footpath,Tree/Landscape
roots damaging park path,Tree/Landscape
tree trunk hollow,Tree/Landscape
tree termite problem,Tree/Landscape
tree fungus infection,Tree/Landscape
tree leaves falling too much,Tree/Landscape
leaf litter problem,Tree/Landscape
tree sap dripping on vehicles,Tree/Landscape
sticky sap from tree,Tree/Landscape
tree damaging boundary wall,Tree/Landscape
tree outside house blocking view,Tree/Landscape
tree near signal blocking visibility,Tree/Landscape
tree at corner blocking turn,Tree/Landscape
tree covering CCTV camera,Tree/Landscape
tree covering streetlight,Tree/Landscape
tree covering traffic light,Tree/Landscape
tree over house roof,Tree/Landscape
branch hitting house roof,Tree/Landscape
branch scraping windows,Tree/Landscape
tree hanging over electric wires,Tree/Landscape
tree hanging over balcony,Tree/Landscape
tree hanging over parking,Tree/Landscape
fallen branch on roof,Tree/Landscape
branch on tin shed,Tree/Landscape
tree debris after storm,Tree/Landscape
tree debris after rain,Tree/Landscape
tree debris after cyclone,Tree/Landscape
park fountain blocked by leaves,Tree/Landscape
garden bench broken due to tree,Tree/Landscape
tree damaging playground,Tree/Landscape
roots damaging swing area,Tree/Landscape
tree in school playground blocking space,Tree/Landscape
tree in hospital premises blocking entry,Tree/Landscape
tree in colony park overgrown,Tree/Landscape
tree in footpath planter dead,Tree/Landscape
tree cut but stump left,Tree/Landscape
tree stump hazard,Tree/Landscape
tree branches hitting moving vehicles,Tree/Landscape
tree branches obstructing buses,Tree/Landscape
tree near railway track hazard,Tree/Landscape
tree fallen on railway line,Tree/Landscape
tree near airport hazard,Tree/Landscape
tree damaging boundary fencing,Tree/Landscape
wild plant overgrowth in park,Tree/Landscape
tree with hanging wires,Tree/Landscape
tree with broken swing,Tree/Landscape
tree with illegal hoarding,Tree/Landscape
tree painted partially,Tree/Landscape
tree damaging underground cable,Tree/Landscape
roots entering septic tank,Tree/Landscape
roots damaging water pipe,Tree/Landscape
roots breaking cement floor,Tree/Landscape
tree damaging drainage,Tree/Landscape
fallen branch blocking drainage,Tree/Landscape
tree growing in drain,Tree/Landscape
tree blocking fire exit,Tree/Landscape
tree blocking emergency path,Tree/Landscape
ped ke neeche paani jama,Tree/Landscape
tree with hanging honeybee hive,Tree/Landscape
tree with snake,Tree/Landscape
tree with bird nest blocking work,Tree/Landscape
tree roots breaking underground gas pipe,Tree/Landscape


# ------------------- CONSUMER AFFAIRS -------------------
refund not given,Consumer Affairs
paise wapas nahi mile,Consumer Affairs
billing issue,Consumer Affairs
price fraud,Consumer Affairs
wrong bill,Consumer Affairs
bill dispute,Consumer Affairs
consumer fraud,Consumer Affairs
rent not returned,Consumer Affairs
overcharge,Consumer Affairs
bill,Consumer Affairs
paise,Consumer Affairs
refund,Consumer Affairs
payment,Consumer Affairs
fraud,Consumer Affairs
bill galat,Consumer Affairs
wrong billing,Consumer Affairs
amount extra,Consumer Affairs
double charge,Consumer Affairs
money issue,Consumer Affairs
invoice wrong,Consumer Affairs
mosquito breeding,Public Health
machhar paida ho rahe,Public Health
hospital waste,Public Health
clinic waste,Public Health
health hazard,Public Health
rotten garbage,Public Health
medical waste,Public Health
dirty clinic,Public Health
unhygienic area,Public Health
machhar,Public Health
dengue,Public Health
malaria,Public Health
hospital,Public Health
health,Public Health
clinic,Public Health
disease,Public Health
infection,Public Health
public health issue,Public Health
vector problem,Public Health
mosquito issue,Public Health
stagnant water breeding mosquitoes,Public Health
paani jama ho gaya machhar paida,Public Health
dirty water tank,Public Health
overhead tank open,Public Health
tank cover missing,Public Health
ganda paani in tank,Public Health
well water dirty,Public Health
sewer water near home,Public Health
drain water outside house,Public Health
drain water smell,Public Health
garbage near water source,Public Health
mosquitoes in park,Public Health
mosquitoes in colony,Public Health
mosquitoes in office,Public Health
mosquitoes in school,Public Health
mosquitoes in hospital,Public Health
flies in area,Public Health
makkhi bahut hai,Public Health
flies near garbage,Public Health
flies in kitchen,Public Health
flies in canteen,Public Health
rats in colony,Public Health
rats in garbage,Public Health
rats in school,Public Health
rats in hospital,Public Health
rat problem,Public Health
rodent infestation,Public Health
cockroach problem,Public Health
cockroach in drain,Public Health
cockroach in kitchen,Public Health
cockroach in hospital,Public Health
bed bugs in shelter,Public Health
lice infestation,Public Health
tick infestation,Public Health
dirty toilets,Public Health
public toilet unclean,Public Health
toilet smell,Public Health
urinal smell,Public Health
urinal blocked,Public Health
toilet not working,Public Health
urinal overflow,Public Health
handwash missing,Public Health
soap missing,Public Health
toilet water supply issue,Public Health
public toilet lights off,Public Health
toilet door broken,Public Health
toilet without flush,Public Health
urinal without flush,Public Health
toilet seat broken,Public Health
no dustbin in toilet,Public Health
garbage in toilet,Public Health
used masks thrown in public place,Public Health
PPE kit waste in open,Public Health
gloves thrown in street,Public Health
biohazard waste open,Public Health
hospital bio waste in open,Public Health
clinic throwing waste,Public Health
dirty hospital floor,Public Health
blood stains in clinic,Public Health
blood waste in open,Public Health
sharps in open,Public Health
needle waste,Public Health
syringe waste,Public Health
expired medicines thrown,Public Health
medicine strips on road,Public Health
uncovered food stall,Public Health
food vendor hygiene issue,Public Health
hawker selling stale food,Public Health
street food unhygienic,Public Health
dirty utensils,Public Health
washing utensils in drain water,Public Health
open meat shop,Public Health
flies on meat,Public Health
flies on sweets,Public Health
flies on fruits,Public Health
selling rotten fruits,Public Health
selling expired snacks,Public Health
school canteen dirty,Public Health
canteen hygiene fail,Public Health
canteen water dirty,Public Health
canteen food stale,Public Health
public water cooler dirty,Public Health
water cooler without cover,Public Health
water cooler smell,Public Health
public health officer absent,Public Health
health inspection pending,Public Health
dirty swimming pool,Public Health
pool water green,Public Health
pool water dirty smell,Public Health
pool water mosquito breeding,Public Health
open defecation,Public Health
people urinating in open,Public Health
people defecating near drain,Public Health
animal waste in street,Public Health
cow dung on road,Public Health
dog feces in park,Public Health
animal carcass on road,Public Health
dead animal smell,Public Health
dead bird in park,Public Health
dead rat smell,Public Health
open burning of waste,Public Health
burning plastic smell,Public Health
air pollution complaint,Public Health
smoke from garbage burning,Public Health
factory smoke in area,Public Health
industrial waste smell,Public Health
chemical smell in colony,Public Health
spray fogging needed,Public Health
no mosquito fogging,Public Health
fogging delay,Public Health
no pest control,Public Health
pest control delay,Public Health
spraying insecticide needed,Public Health
public awareness campaign needed,Public Health
lack of health awareness,Public Health
poor sanitation awareness,Public Health
health camp needed,Public Health
medical camp delay,Public Health
free health checkup needed,Public Health
hospital not admitting patients,Public Health
clinic refusing treatment,Public Health
hospital hygiene poor,Public Health
nursing home hygiene poor,Public Health
clinic unhygienic,Public Health
pharmacy selling expired medicine,Public Health
chemist selling without prescription,Public Health
chemist unhygienic shop,Public Health
illegal clinic running,Public Health
quack doctor complaint,Public Health
fake medicine sale,Public Health
contaminated water complaint,Public Health
water testing needed,Public Health
milk adulteration,Public Health
food adulteration,Public Health
food safety violation,Public Health
improper garbage disposal,Public Health
drains not cleaned,Public Health
water stagnation,Public Health
mosquito menace,Public Health
fly menace,Public Health
rodent menace,Public Health
vermin problem,Public Health
pest problem,Public Health
malaria outbreak,Public Health
dengue outbreak,Public Health
cholera cases,Public Health
typhoid cases,Public Health
flu outbreak,Public Health
viral fever cases,Public Health
unknown fever spread,Public Health
epidemic alert,Public Health
health emergency,Public Health


# ------------------- RENT/BUILDING -------------------
tenant dispute,Rent/Building
building unsafe,Rent/Building
house cracks,Rent/Building
unsafe building,Rent/Building
illegal construction,Rent/Building
building hazard,Rent/Building
makaan kharab hai,Rent/Building
makaan,Rent/Building
ghar,Rent/Building
building,Rent/Building
house,Rent/Building
rent, Rent/Building
construction illegal,Rent/Building
flat unsafe,Rent/Building
apartment crack,Rent/Building
building damage,Rent/Building
foundation weak,Rent/Building
wall crack,Rent/Building
roof leak,Rent/Building
property unsafe,Rent/Building
refund not given,Consumer Affairs
paise wapas nahi mile,Consumer Affairs
billing issue,Consumer Affairs
price fraud,Consumer Affairs
wrong bill,Consumer Affairs
bill dispute,Consumer Affairs
consumer fraud,Consumer Affairs
rent not returned,Consumer Affairs
overcharge,Consumer Affairs
bill,Consumer Affairs
paise,Consumer Affairs
refund,Consumer Affairs
payment,Consumer Affairs
fraud,Consumer Affairs
bill galat,Consumer Affairs
wrong billing,Consumer Affairs
amount extra,Consumer Affairs
double charge,Consumer Affairs
money issue,Consumer Affairs
invoice wrong,Consumer Affairs
wrong amount charged,Consumer Affairs
duplicate billing,Consumer Affairs
fake charges,Consumer Affairs
hidden charges,Consumer Affairs
extra service charge,Consumer Affairs
wrong service charge,Consumer Affairs
overpriced bill,Consumer Affairs
price mismatch,Consumer Affairs
price higher than promised,Consumer Affairs
incorrect amount deducted,Consumer Affairs
bank deducted extra money,Consumer Affairs
wrong debit,Consumer Affairs
wrong credit card charge,Consumer Affairs
credit card fraud,Consumer Affairs
debit card fraud,Consumer Affairs
payment deducted but not confirmed,Consumer Affairs
payment failed but money deducted,Consumer Affairs
transaction failed but charged,Consumer Affairs
online payment fraud,Consumer Affairs
UPI fraud,Consumer Affairs
wallet fraud,Consumer Affairs
wallet deduction without reason,Consumer Affairs
unauthorized deduction,Consumer Affairs
auto debit without permission,Consumer Affairs
EMI deducted wrongly,Consumer Affairs
loan EMI fraud,Consumer Affairs
loan overcharged,Consumer Affairs
interest rate fraud,Consumer Affairs
loan statement wrong,Consumer Affairs
bank statement wrong,Consumer Affairs
bank charged extra,Consumer Affairs
ATM money not dispensed,Consumer Affairs
ATM cash not received,Consumer Affairs
ATM deducted but no cash,Consumer Affairs
ATM transaction fail,Consumer Affairs
fake product received,Consumer Affairs
different product delivered,Consumer Affairs
wrong color product,Consumer Affairs
wrong size delivered,Consumer Affairs
product defective,Consumer Affairs
product damaged,Consumer Affairs
damaged item received,Consumer Affairs
used item received,Consumer Affairs
product fake,Consumer Affairs
duplicate product delivered,Consumer Affairs
